"","area","parameter","compactness","kernelLength","kernelWidth","asymmetryCoefficient","kernelGroveLength","variety","PC1","PC2"
"1",15.26,14.84,0.871,5.763,3.312,2.221,5.22,1,-0.316291277115987,-0.78180090990041
"2",14.88,14.57,0.8811,5.554,3.333,1.018,4.956,1,0.00337810578026354,-1.90865296302638
"3",14.29,14.09,0.905,5.291,3.337,2.699,4.825,1,0.458348122789826,-1.90267881871155
"4",13.84,13.94,0.8955,5.324,3.379,2.259,4.805,1,0.590524598587704,-1.92646594755689
"5",16.14,14.99,0.9034,5.658,3.562,1.355,5.175,1,-1.10028093764718,-2.06316013202679
"6",14.38,14.21,0.8951,5.386,3.312,2.462,4.956,1,0.336012252493374,-1.63301419368099
"7",14.69,14.49,0.8799,5.563,3.259,3.586,5.219,1,0.145255412097921,-0.435374247439169
"8",14.11,14.1,0.8911,5.42,3.302,2.7,5,1,0.424425771804763,-1.38683946108183
"9",16.63,15.46,0.8747,6.053,3.465,2.04,5.877,1,-1.76297173528147,-0.306795744916383
"10",16.44,15.25,0.888,5.884,3.505,1.969,5.533,1,-1.43775863588548,-1.00865812356216
"11",15.26,14.85,0.8696,5.714,3.242,4.543,5.314,1,-0.066950766706925,0.428289068816928
"12",14.03,14.16,0.8796,5.438,3.201,1.717,5.001,1,0.571318334218951,-1.55452954864998
"13",13.89,14.02,0.888,5.439,3.199,3.986,4.738,1,0.929194240655409,-0.871842381431777
"14",13.78,14.06,0.8759,5.479,3.156,3.136,4.872,1,0.912701874031578,-0.869861509402612
"15",13.74,14.05,0.8744,5.482,3.114,2.932,4.825,1,1.00595776731184,-0.956245378034321
"16",14.59,14.28,0.8993,5.351,3.333,4.185,4.781,1,0.514293438347317,-1.05620270327464
"17",13.99,13.83,0.9183,5.119,3.383,5.234,4.781,1,0.782660356492512,-1.1392543177248
"18",15.69,14.75,0.9058,5.527,3.514,1.599,5.046,1,-0.677410394223793,-2.16518810308535
"19",14.7,14.21,0.9153,5.205,3.466,1.767,4.649,1,0.233857806015916,-2.78114834955766
"20",12.72,13.57,0.8686,5.226,3.049,4.102,4.914,1,1.73352989424193,-0.339329742719958
"21",14.16,14.4,0.8584,5.658,3.129,3.072,5.176,1,0.560144108081454,-0.158281415728659
"22",14.11,14.26,0.8722,5.52,3.168,2.688,5.219,1,0.476385992738087,-0.703066655349752
"23",15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,1,-0.855339361753018,-2.31564135188971
"24",12.08,13.23,0.8664,5.099,2.936,1.415,4.961,1,1.97380322367266,-1.58697283876547
"25",15.01,14.76,0.8657,5.789,3.245,1.791,5.001,1,0.00157151586337934,-1.0108508231566
"26",16.19,15.16,0.8849,5.833,3.421,0.903,5.307,1,-1.09390731001347,-1.62677314381868
"27",13.02,13.76,0.8641,5.395,3.026,3.373,4.825,1,1.5535702232275,-0.553810688828039
"28",12.74,13.67,0.8564,5.395,2.956,2.504,4.869,1,1.6939945970681,-0.748661250988387
"29",14.11,14.18,0.882,5.541,3.221,2.754,5.038,1,0.455530153230417,-1.04172486017787
"30",13.45,14.02,0.8604,5.516,3.065,3.531,5.097,1,1.08119262531667,-0.122018321889667
"31",13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,1,1.10858032462401,-1.57574314684964
"32",15.49,14.94,0.8724,5.757,3.371,3.412,5.228,1,-0.37580452351411,-0.251639300245419
"33",14.09,14.41,0.8529,5.717,3.186,3.92,5.299,1,0.480265186586046,0.473423949172458
"34",13.94,14.17,0.8728,5.585,3.15,2.124,5.012,1,0.602778292510499,-1.11584018026688
"35",15.05,14.68,0.8779,5.712,3.328,2.129,5.36,1,-0.398130391633211,-0.913598749326959
"36",16.12,15,0.9,5.709,3.485,2.27,5.443,1,-1.16015367817304,-1.29711968576044
"37",16.2,15.27,0.8734,5.826,3.464,2.823,5.527,1,-1.06212693610375,-0.294336649742577
"38",17.08,15.38,0.9079,5.832,3.683,2.956,5.484,1,-1.85051636417329,-1.08626717930376
"39",14.8,14.52,0.8823,5.656,3.288,3.112,5.309,1,-0.140280230254932,-0.608836925511391
"40",14.28,14.17,0.8944,5.397,3.298,6.685,5.001,1,0.676465473117348,0.436637370555407
"41",13.54,13.85,0.8871,5.348,3.156,2.587,5.178,1,0.729912437876354,-1.22418502902039
"42",13.5,13.85,0.8852,5.351,3.158,2.249,5.176,1,0.728030801728488,-1.34391545925114
"43",13.16,13.55,0.9009,5.138,3.201,2.461,4.783,1,1.1780175326871,-2.03073713085243
"44",15.5,14.86,0.882,5.877,3.396,4.711,5.528,1,-0.739971656876511,0.425979510167168
"45",15.11,14.54,0.8986,5.579,3.462,3.128,5.18,1,-0.408380046907461,-1.15066394449623
"46",13.8,14.04,0.8794,5.376,3.155,1.56,4.961,1,0.780469450136426,-1.68003597362077
"47",15.36,14.76,0.8861,5.701,3.393,1.367,5.132,1,-0.513180686600093,-1.65274236370842
"48",14.99,14.56,0.8883,5.57,3.377,2.958,5.175,1,-0.179537474125769,-0.982633541196033
"49",14.79,14.52,0.8819,5.545,3.291,2.704,5.111,1,0.0923790328260835,-0.998988509742183
"50",14.86,14.67,0.8676,5.678,3.258,2.129,5.351,1,-0.125168959629741,-0.686408774961109
"51",14.43,14.4,0.8751,5.585,3.272,3.975,5.144,1,0.32553576146051,-0.201923707874331
"52",15.78,14.91,0.8923,5.674,3.434,5.593,5.136,1,-0.391456931811664,0.214668002693547
"53",14.49,14.61,0.8538,5.715,3.113,4.116,5.396,1,0.365610807083029,0.659303320482477
"54",14.33,14.28,0.8831,5.504,3.199,3.328,5.224,1,0.33458897469134,-0.651895515104677
"55",14.52,14.6,0.8557,5.741,3.113,1.481,5.487,1,0.0375846166431256,-0.558031327892382
"56",15.03,14.77,0.8658,5.702,3.212,1.933,5.439,1,-0.218874134752749,-0.638661579002222
"57",14.46,14.35,0.8818,5.388,3.377,2.802,5.044,1,0.313500053967816,-1.11494725174986
"58",14.92,14.43,0.9006,5.384,3.412,1.142,5.088,1,-0.206202540120496,-2.29698091733745
"59",15.38,14.77,0.8857,5.662,3.419,1.999,5.222,1,-0.528443396370137,-1.29871863361177
"60",12.11,13.47,0.8392,5.159,3.032,1.502,4.519,1,2.39463458374494,-1.26165406040912
"61",11.42,12.86,0.8683,5.008,2.85,2.7,4.607,1,2.74329422911259,-1.33408808178995
"62",11.23,12.63,0.884,4.902,2.879,2.269,4.703,1,2.6244848997961,-1.89225640171177
"63",12.36,13.19,0.8923,5.076,3.042,3.22,4.605,1,1.96436919927601,-1.62303711352136
"64",13.22,13.84,0.868,5.395,3.07,4.157,5.088,1,1.25454216503222,-0.0721210665125731
"65",12.78,13.57,0.8716,5.262,3.026,1.176,4.782,1,1.55413468857145,-1.8785164096482
"66",12.88,13.5,0.8879,5.139,3.119,2.352,4.607,1,1.6131447818737,-1.90663680642227
"67",14.34,14.37,0.8726,5.63,3.19,1.313,5.15,1,0.214811615474181,-1.36704991554008
"68",14.01,14.29,0.8625,5.609,3.158,2.217,5.132,1,0.552963476304377,-0.731703799188407
"69",14.37,14.39,0.8726,5.569,3.153,1.464,5.3,1,0.197938169499177,-1.19530225721045
"70",12.73,13.75,0.8458,5.412,2.882,3.533,5.067,1,1.78654171735491,0.16710676106838
"71",17.63,15.98,0.8673,6.191,3.561,4.076,6.06,2,-2.23016166959256,1.04718352313826
"72",16.84,15.67,0.8623,5.998,3.484,4.675,5.877,2,-1.48186817173106,1.21121646889547
"73",17.26,15.73,0.8763,5.978,3.594,4.539,5.791,2,-1.78035859202084,0.731271513339772
"74",19.11,16.26,0.9081,6.154,3.93,2.936,6.079,2,-3.5216505481595,-0.495117620641439
"75",16.82,15.51,0.8786,6.017,3.486,4.004,5.841,2,-1.66087162568572,0.496383902014311
"76",16.77,15.62,0.8638,5.927,3.438,4.92,5.795,2,-1.26733275276767,1.20885634392006
"77",17.32,15.91,0.8599,6.064,3.403,3.824,5.922,2,-1.68110930961412,0.96927444909443
"78",20.71,17.23,0.8763,6.579,3.814,4.451,6.451,2,-4.16804908618563,1.53525209243125
"79",18.94,16.49,0.875,6.445,3.639,5.064,6.362,2,-3.18508865187633,1.71634346041085
"80",17.12,15.55,0.8892,5.85,3.566,2.858,5.746,2,-1.79214329055995,-0.457340581436173
"81",16.53,15.34,0.8823,5.875,3.467,5.532,5.88,2,-1.35504639328187,1.09826749250929
"82",18.72,16.19,0.8977,6.006,3.857,5.324,5.879,2,-2.7452875874841,0.668546651176791
"83",20.2,16.89,0.8894,6.285,3.864,5.173,6.187,2,-3.64003338732171,1.20487676665601
"84",19.57,16.74,0.8779,6.384,3.772,1.472,6.273,2,-3.70738803227553,-0.177149344650384
